route_id,trip_id
LAVENDER,[@15.0.63192662@][2][1334590281857]/9__Y3UIMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/136__T2UISA
GREEN SATURDAY,[@7.0.41202550@][4][1248702580375]/1__GN4SA
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/11__GN3UISA_V1
GREY,[@2.0.80545657@][31][1425487371613]/1__GR2_MF
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/26__Y2UISU_V1
SILVER,[@4.0.6090318@][1597351255773]/13__SV1_UIMF_V1
GREEN LATE NIGHT SATURDAY,[@4.0.6007125@][1597257941128]/1__GN3UISA_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/15__Y5UISA_V1
ILLINI EVENING SATURDAY,[@124.0.92260187@][1484328831455]/149__I3UISA
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/7__GN3NONUISA
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/5__T1UISA_V1
SILVER LIMITED SATURDAY,[@15.0.67916770@][2][1363721676269]/34__SV1_NON_UI_SA
ORANGE,[@2.0.86175868@][1458585713139]/92__GN7_MF_V1
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/54__T1UISA_V1
TEAL,[@4.0.6079335@][1597347351575]/2__T1_UIMF_V1
SILVER LIMITED SATURDAY,[@15.0.67916770@][1][1363722440092]/61__SV1_NON_UI_SA
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/116__T2UISU
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/252__I3UISU
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/28__T2UISA
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/179__I1NONUISA
GOLD,[@7.0.41203042@][4][1246654375687]/29__G5_MF
TEAL,[@7.0.41893871@][3][1243541396687]/95__T1_NONUIMF
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/65__SV2UISU
ORANGE,[@2.0.86175868@][1458585713139]/17__O4_MF
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/65__SV1_NONUISU
RUBY SATURDAY,[@15.0.64657075@][1339528341508]/6__RUB1_SA
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/1__Y4_MF_V1
BROWN,[@6.0.626596@][1601838465133]/67__BB1_MF_V1
YELLOW EVENING SATURDAY,[@124.0.92247832@][1484327725398]/12__Y3SA
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/258__T1UISA
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/10__T2UISA
NAVY,[@124.0.103534744@][31][1510337336593]/8__N2_MF
BLUE,[@14.0.56288268@][4][1305742643366]/0__B2_MF
SILVER,[@12.0.42199629@][4][1246896833000]/70__SV4_NONUIMF_NOSCH
SILVER EVENING SUNDAY,[@4.0.6318298@][1597516914744]/33__SV1UISU_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/61__T1UISU
SILVER,[@12.0.42199629@][3][1246896590515]/54__SV1_UIMF
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/50__I3UISU_V1
RED SATURDAY,20RED023__R2SA
SILVER,[@4.0.6090318@][1597351255773]/45__SV2_NONUIMF_V1
GREY SATURDAY,[@15.0.73008535@][31][1401898652823]/2__GN4SA_V1
SILVER EVENING SUNDAY,[@4.0.6318298@][1597516914744]/48__SV1UISU_V1
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/12__Y5_NONUI_SU_V1
SILVER,[@4.0.6090318@][1597351255773]/51__SV5_UIMF_V1
SILVER,[@4.0.6090318@][1597351255773]/89__SV3_UIMF_V1
BLUE,[@4.0.5955594@][1597257189746]/31__B3_NOSCH_V1
LIME SUNDAY,[@124.0.94415718@][12][1496267134824]/15__LM2SU
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/27__GN2UISA_V1
YELLOW,[@4.0.5891782@][1597169066281]/54__Y2_MF_V1
GREEN,2GN530__GN2_MF
GREEN EVENING SATURDAY,[@4.0.5983687@][1597257498706]/15__GN2UISA_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/42__Y7_UIMF_V1
TEAL,[@14.0.51708725@][4][1275506123875]/15__T3_UIMF
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/35__I1UISA_V1
BLUE,[@4.0.5955594@][1597257189746]/10__B2_MF_V1
RED SATURDAY,20RED046__R3SA
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/3__GN1_SU_V1
SILVER,[@12.0.42199629@][4][1246905839953]/80__SV4_NONUIMF_NOSCH
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/41__T1NON_UI_SA
RAVEN,[@2.0.81457398@][11][1425933027212]/15__RV1_MF
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/27__GN1_SU
GOLDHOPPER,[@7.0.41987615@][4][1246632633781]/20__G2_MF
RUBY SUNDAY,[@124.0.92234822@][1484324980985]/11__RUB1_SU
SILVER,[@4.0.6090318@][1597351255773]/122__SV4_UI_NOSCH_V1
GREY EVENING,[@15.0.68508995@][4][1368817506253]/1__GR3_UIMF
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/12__T2UISU_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/153__T1UISA
TEAL,[@7.0.41893871@][4][1243540851671]/19__T1_NONUIMF
PINK,[@2.0.81838518@][12][1430161301181]/21__P2_NOSCHMF
YELLOWHOPPER,[@15.0.63189099@][1][1334168041183]/38__Y2_MF
SILVER,[@12.0.42199629@][4][1246896960625]/102__SV5_UIMF
TEAL EVENING,[@7.0.41903462@][4][1243545628328]/0__T3_NONUIMF
GOLD,[@7.0.41203042@][3][1248901664468]/0__G2_MF
SILVER,[@4.0.6090318@][1597351255773]/34__SV5_UIMF_V1
ILLINI LIMITED EVENING SATURDAY,[@124.0.92348983@][1484580545489]/31__I1NONUISA
TEAL EVENING,[@7.0.41903462@][3][1243545711640]/28__T1_NONUIMF
ILLINI,[@7.0.41200832@][2][1238430887312]/151__I4_UIMF1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/21__I6UISU
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/16__Y2_NONUI_SU
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/51__GN4SA_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/35__GR1SA_V1
ILLINI,[@4.0.6310080@][1597516121254]/33__I4_UIMF_V1
LAVENDER,[@15.0.63192662@][2][1334589837818]/4__L2_NOSCHMF
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/37__GN1SA_V1
BROWN,[@6.0.626596@][1601838465133]/25__BA2_NOSCHMF_V1
ILLINI,[@4.0.6310080@][1597516121254]/31__I2_UIMF_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/54__T2_NONUI_SU
NAVY,[@124.0.103534744@][32][1510344867429]/18__N1_MF
GREEN,1GN515__GN1_MF
GOLDHOPPER,[@7.0.41987615@][3][1246632955750]/36__G4_MF
BLUE,[@4.0.5955594@][1597257189746]/27__B2_MF_V1
GREENHOPPER,[@7.0.41101146@][3][1237929928359]/2__GNX5_MF
SILVER,[@12.0.42199629@][4][1246896833000]/83__SV4_NONUIMF_NOSCH
SILVER,[@12.0.42199629@][4][1246896833000]/85__SV5_UIMF
YELLOW,[@15.0.63189004@][2][1340828987634]/14__Y5_MF
GREY,2GR723.5__GR1_NOSCHMF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/68__Y7_UIMF_V1
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/16__T2_UIMF
GREENHOPPER,[@4.0.5978260@][1597257417676]/40__GNX2_MF_V1
GREEN EVENING,[@4.0.5972609@][1597257368084]/3__GNX5_MF_V1
SILVER,[@12.0.42199629@][3][1246896590515]/42__SV2_NONUIMF
GREEN,[@4.0.5960707@][1597257255963]/21__GN5_MF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/78__SV1_NONUISU
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/5__GR2SA
SILVER,[@4.0.6090318@][1597351255773]/86__SV2_NONUIMF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/152__T2UISA
TEAL,[@7.0.41893871@][3][1243541488843]/110__T4_UIMF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/174__I1UISA
SILVER LIMITED SUNDAY,[@4.0.6323452@][1597517174427]/25__SV1_NONUISU_V1
GOLD,[@7.0.41203042@][4][1246652832718]/19__G3_MF
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/65__T1UISU
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/33__Y5_NONUI_SU_V1
GREY SATURDAY,[@15.0.73008535@][31][1401898680792]/14__GN2UISA_V1
TEAL LATE NIGHT SUNDAY,[@4.0.6088263@][1597348010901]/34__T2UISU_V1
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/24__SV2UISU_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/9__T2UISU_V1
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/10__T1UISA_V1
GREEN,[@4.0.5960707@][1597257255963]/32__GN1_MF_V1
BROWN ALT PM,[@15.0.61734120@][10][1328801953874]/1__9A/5E_SHOW_SCH
SILVER,[@4.0.6090318@][1597351255773]/130__SV5_UIMF_V1
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/8__Y2_NONUI_SU_V1
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/28__GN2SU_V1
GOLD,[@7.0.41203042@][4][1246652832718]/11__G5_MF
BLUE,[@4.0.5955594@][1597257189746]/38__B3_NOSCH_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/26__GR2SA_V1
GREY EVENING SATURDAY,[@124.0.92319406@][1484577670364]/33__GN4SA
TEAL,[@7.0.41893871@][3][1243541322000]/70__T1_NONUIMF
GOLDHOPPER,[@7.0.41987615@][3][1246632955750]/37__G2_MF
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/16__T1_NONUIMF
LIME SATURDAY,[@124.0.94415201@][11][1496415327969]/1__LM1SA
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/22__Y3SU_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/4__T2NON_UI_SA
GOLDHOPPER,[@7.0.41987615@][3][1246633149015]/63__G6_MF
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/25__T1_UIMF
GREENHOPPER EVENING SATURDAY,[@4.0.6000297@][1597257796601]/0__GN1SA_V1
TEAL EVENING,[@7.0.41903462@][3][1243545711640]/27__T1_UIMF
TEAL,[@4.0.6079335@][1597347351575]/146__T4_UIMF_V1
ILLINI,[@4.0.6310080@][1597516121254]/3__I4_UIMF_V1
YELLOW,[@4.0.5891782@][1597169066281]/56__Y2_MF_V1
SILVER,[@14.0.51709480@][2][1281965037203]/1__SV2_NONUIMF
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/39__T1UISU
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/4__SV1UISU_V1
SILVER,[@12.0.42199629@][3][1246896590515]/42__SV5_UIMF
GREEN SATURDAY,GN5SAT018__GN2UISA
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/31__GR2_SU
YELLOWHOPPER,[@15.0.63189099@][1][1334168021574]/24__Y7_NON_UI_MF
GREY EVENING,3GN309__GR3_NON_UI_MF_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/22__GN2UISA_V1
SILVER,[@4.0.6090318@][1597351255773]/24__SV4_UI_NOSCH_V1
RAVEN,[@2.0.81457398@][11][1425933027212]/12__RV1_MF
YELLOW,[@15.0.63189004@][1][1340827148626]/8__Y8_MF
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/46__I1UI_SU
YELLOW EVENING,[@15.0.63189138@][2][1338410124117]/3__Y3_NON_UI_MF
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/7__SV1UISU_V1
LIME SATURDAY,[@124.0.94415201@][12][1496416303828]/30__LM2SA
TEAL,[@4.0.6079335@][1597347351575]/74__T2_UIMF_V1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/270__I3UISU
ILLINI,[@4.0.6310080@][1597516121254]/11__I8_UIMF_V1
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/41__Y5_NONUI_SU_V1
RUBY SUNDAY,[@124.0.92234822@][1484324980985]/42__RUB1_SU
TEAL,[@14.0.51708725@][4][1284043976593]/0__T1_NONUIMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/159__T1UISA
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/78__I3UISA_V1
GREEN,[@4.0.5960707@][1597257255963]/13__GN2_MF_V1
GREY EVENING,8GN518__GR4_MF
RAVEN,[@2.0.81457398@][11][1425933027212]/16__RV1_MF
ILLINI LIMITED,[@4.0.6331833@][1597517469643]/25__I1_NONUIMF_V1
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/3__GN1SA
GOLD ALT,[@2.0.84927215@][1455575717330]/47__5W_SHOW_#3_SCH
YELLOW,[@14.0.56288722@][2][1303763673456]/34__Y1UIMF
YELLOW,[@14.0.56288722@][2][1303763634065]/26__Y7_NON_UI_MF
GREEN,3R300__B1_MF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/163__I1NONUISA
YELLOW EVENING,[@15.0.63189138@][2][1338407799588]/15__Y3_NON_UI_MF
GREY SUNDAY,[@2.0.85633657@][32][1463429257036]/0__GR3_UISU
GREEN SATURDAY,[@15.0.73006437@][31][1401892011231]/0__GN3NONUISA
LAVENDER,[@15.0.63192662@][1][1343054832477]/0__L1_NOSCHMF
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/17__T2_NONUI_SU_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/28__T2_NONUI_SU_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/67__T2_NONUI_SU
YELLOW LATE NIGHT SATURDAY,[@4.0.5888690@][1597168931906]/20__Y5UISA_V1
BLUE,[@4.0.5955594@][1597257189746]/37__B3_NOSCH_V1
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/65__Y3UIMF_V1
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/86__I1UISA
SILVER LIMITED EVENING,[@15.0.67924657@][1][1363725754977]/14__SV2_NONUIMF
YELLOW EVENING,[@15.0.63189138@][2][1338407799588]/16__Y8_MF
TEAL,[@4.0.6079335@][1597347351575]/29__T2_UIMF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/77__SV1_NONUISU
GOLD,[@7.0.41203042@][4][1246651981531]/1__G4_MF
LIME SATURDAY,[@124.0.94415201@][12][1496416303828]/32__LM2SA
SILVER LIMITED SUNDAY,[@4.0.6323452@][1597517174427]/27__SV1_NONUISU_V1
TEAL,[@4.0.6079335@][1597347351575]/60__T2_UIMF_V1
ILLINI EVENING SATURDAY,[@124.0.92260187@][1484328831455]/247__I6UISA
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/64__GR3_UISU
LIME SATURDAY,[@124.0.94415201@][12][1496415811662]/20__LM2SA
GREENHOPPER,[@4.0.5978260@][1597257417676]/3__GNX5_MF_V1
GREENHOPPER EVENING SATURDAY,[@7.0.42019048@][1245177724421]/76__GN3NONUISA
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/75__I1UI_SU
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/41__Y2_MF_V1
GREY EVENING,[@15.0.68508995@][4][1366821150873]/0__BZ1_NOSCHMF
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/27__I1UISA_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/5__T1UISU
GREY,[@2.0.80545657@][31][1425487417760]/4__GR3_UIMF_V1
SILVER,[@12.0.42199629@][4][1246896833000]/92__SV2_NONUIMF
TEAL EVENING,[@7.0.41903462@][4][1243545654281]/12__T1_UIMF
GREENHOPPER EVENING SATURDAY,[@4.0.6000297@][1597257796601]/7__GN1SA_V1
BROWN,[@6.0.626596@][1601838465133]/14__BA1_MF_V1
NAVY,[@124.0.103534744@][32][1510344867429]/13__N2_MF
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/27__GR4SA_V1
ILLINI LIMITED,[@7.0.41202961@][2][1238522777281]/41__I1_NONUIMF
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/70__I1UI_SU
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/92__SV1UISU
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/15__T2_NONUI_SU_V1
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/7__GR3_UISU
ILLINI,[@4.0.6310080@][1597516121254]/154__I8_UIMF_V1
ILLINI,[@7.0.41200832@][1][1238430123625]/24__I2_UIMF
RUBY SATURDAY,[@15.0.64657075@][1339528341508]/48__RUB1_SA
ILLINI EVENING,[@7.0.41950648@][1244056065453]/105__I8_UIMF
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/93__I3UISA_V1
TEAL,[@14.0.51708725@][4][1275506079140]/8__T2_UIMF
TEAL,[@4.0.6079335@][1597347351575]/57__T4_UIMF_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/33__I1UI_SU_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/23__T2_UIMF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/21__T1UISA
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/64__SV2UISA_V1
ORANGE,[@2.0.86175868@][1458585713139]/95__O2_MF
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/68__T1UISA_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/13__T2_UIMF_V1
ILLINI,[@4.0.6310080@][1597516121254]/133__I4_UIMF_V1
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/60__I1_NON_UI_SU
YELLOW EVENING,[@4.0.5867728@][1597168420258]/16__Y5_MF_V1
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/19__I6UISU_V1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/247__I6UISU
GREEN LATE NIGHT,8GN526__Y7_UIMF
ORANGE,[@2.0.86175868@][1458585713139]/110__GN7_MF_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/24__Y4SA_V1
SILVER,[@4.0.6090318@][1597351255773]/84__SV4_NONUIMF_NOSCH_V1
YELLOWHOPPER,[@15.0.63189099@][2][1334168803198]/62__Y7_UIMF
ILLINI,[@7.0.41200832@][1][1238430123625]/70__I4_UIMF1
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/349__I1UI_SU
GREEN EVENING,[@7.0.41201218@][4][1243955118234]/21__GNX4_MF
ILLINI,[@7.0.41200832@][2][1238430887312]/141__I8_UIMF
RED SATURDAY,[@4.0.5909127@][1597169253406]/33__R3SA_V1
RED SATURDAY,R2SATPO__R2SA
PINK ALT,[@124.0.112274586@][12][1525294229502]/0__16B#1_SHOW_SCH
ILLINI,[@4.0.6310080@][1597516121254]/79__I4_UIMF_V1
ILLINI EVENING,[@7.0.41950648@][1244056065453]/103__I5_UIMF
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/14__GN4_SU_V1
LAVENDER SATURDAY,[@15.0.63188981@][1][1334071396320]/18__L1SA
GREENHOPPER EVENING,[@14.0.50384734@][1270492238828]/5__GN3_MF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/83__Y1_NON_UI_MF_V1
TEAL,[@7.0.41893871@][4][1243540851671]/22__T3_NONUIMF
SILVER LIMITED SATURDAY,[@15.0.67916770@][2][1363721664566]/24__SV1_NON_UI_SA
YELLOW,[@4.0.5891782@][1597169066281]/45__R5_MF_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/11__T1_UIMF_V1
YELLOW SATURDAY,[@15.0.63192124@][1][1342109289752]/5__Y3SA
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/45__T1_NONUI_SU_V1
RUBY,[@15.0.64600293@][1][1339519138016]/3__RUB1_MF
SILVER LIMITED EVENING,[@15.0.67924657@][1][1363725754977]/15__SV2_NONUIMF
GREY,[@15.0.74983739@][32][1412967989091]/0__GR4_MF
GREEN SATURDAY,[@7.0.41202550@][4][1248723584250]/1__GN3NONUISA
RED,[@4.0.5898288@][1597169152898]/53__GNX4_MF_V1
BRONZE,[@15.0.63192037@][3][1337952138353]/5__BZ1_NOSCHMF
GOLD,[@7.0.41203042@][4][1246652832718]/16__G6_MF
YELLOW LATE NIGHT SUNDAY,[@4.0.5890225@][1597168976725]/14__Y5UISU_V1
TEAL,[@4.0.6079335@][1597347351575]/56__T1_UIMF_V1
ILLINI EVENING SATURDAY,[@124.0.92260187@][1484328831455]/125__I1UISA
SILVER,[@4.0.6090318@][1597351255773]/91__SV1_UIMF_V1
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/118__SV2UISU
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/12__GN2SU_V1
SILVER,[@4.0.6090318@][1597351255773]/78__SV1_UIMF_V1
ILLINI,[@4.0.6310080@][1597516121254]/94__I5_UIMF_V1
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/77__I1NONUISA
GREEN ALT,[@2.0.84887452@][1455575490653]/85__3S_/_5W_SHOW_SCH
BROWN,[@15.0.61662606@][20][1329164093091]/2__R2_MF
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/42__I1UI_SU
ILLINI EVENING,[@4.0.6329571@][1597517389214]/18__I5_UIMF_V1
TEAL,[@4.0.6079335@][1597347351575]/53__T2_UIMF_V1
GOLD,[@2.0.85633009@][31][1458231815625]/1__G6_MF
YELLOW EVENING SATURDAY,[@124.0.92247832@][1484327725398]/31__Y4SA
TEAL EVENING,[@7.0.41903462@][4][1243545628328]/1__T2_UIMF
TEAL,[@7.0.41893871@][3][1243541396687]/72__T3_NONUIMF
ORANGE,[@2.0.86175868@][1458585713139]/97__O2_MF
TEAL,[@7.0.41893871@][4][1243540851671]/5__T1_NONUIMF
YELLOW EVENING,[@4.0.5867728@][1597168420258]/17__Y3UIMF_V1
RED,[@4.0.5898288@][1597169152898]/64__R3_MF_V1
SILVER EVENING,[@12.0.42224456@][4][1246897225718]/16__SV4_UI_NOSCH
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/162__I1NONUISA
SILVER,[@4.0.6090318@][1597351255773]/80__SV4_NONUIMF_NOSCH_V1
LAVENDER SATURDAY,[@15.0.63188981@][2][1334072086256]/37__L1SA
GREEN EVENING SATURDAY,[@4.0.5983687@][1597257498706]/6__GR4SA_V1
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/15__GR2_SU_V1
SILVER,[@4.0.6090318@][1597351255773]/63__SV4_UI_NOSCH_V1
ILLINI EVENING SATURDAY,[@4.0.6336113@][1597517693196]/100__I6UISA_V1
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/167__I1NONUISA
SILVER LIMITED EVENING,[@4.0.6322539@][1597517126188]/28__SV2_NONUIMF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/5__T1UISA
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/33__I1UISA_V1
YELLOW,[@4.0.5891782@][1597169066281]/1__Y5_MF_V1
GREY EVENING,2GR746__GR1_NOSCHMF
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/23__I1_NON_UI_SU_V1
GREY EVENING,3GN309__GR3_NON_UI_MF
ILLINI EVENING SUNDAY,[@124.0.92263401@][1484328944432]/193__I6UISU
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/2__GR1_SU_V1
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/42__SV1UISA_V1
GREEN SATURDAY,[@7.0.41202550@][4][1248723156390]/2__GN2UISA
RED SATURDAY,20RED008__R1SA
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/46__Y7_NON_UI_MF_V1
LIME SATURDAY,[@124.0.94415201@][11][1496419927796]/0__LM1SA
TEAL EVENING SATURDAY,[@4.0.6089173@][1597348089342]/2__T2UISA_V1
RUBY SUNDAY,[@124.0.94416866@][2][1496414872444]/1__RUB1_SU
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/17__T1_UIMF
BROWN,[@15.0.61662606@][20][1329164411769]/27__BB2_MF
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/56__SV2UISA_V1
LIME EVENING,[@124.0.94416751@][12][1496264709690]/4__LM2_MF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/9__Y2_MF_V1
GOLD,[@2.0.85633009@][32][1458235740567]/3__G2_MF
ILLINI LIMITED SUNDAY,[@124.0.92244155@][1484326924131]/62__I1UI_SU
SILVER,[@12.0.42199629@][3][1246896440906]/29__SV5_UIMF
SILVER EVENING SUNDAY,[@4.0.6318298@][1597516914744]/5__SV2UISU_V1
TEAL,[@7.0.41893871@][3][1243541488843]/132__T5_UIMF
TEAL,[@7.0.41893871@][4][1243540851671]/31__T1_UIMF
LAVENDER SATURDAY,[@15.0.63188981@][1][1334071445040]/20__L1SA
GREEN,[@14.0.56288551@][4][1310045192467]/0__GN4_MF
GREEN,2GN537__GN2_MF
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/37__T2UISA_V1
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/36__T2UISA_V1
ILLINI LIMITED SUNDAY,[@4.0.6335302@][1597517634875]/14__I1UI_SU_V1
GREY SUNDAY,[@2.0.85633657@][32][1463431982715]/1__GR3_NON_UI_SU
SILVER LIMITED SATURDAY,[@15.0.67916770@][1][1363722440092]/71__SV1_NON_UI_SA
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/27__T1NON_UI_SA
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/15__T1UISU
RED SATURDAY,[@4.0.5909127@][1597169253406]/41__R2SA_V1
TEAL,[@4.0.6079335@][1597347351575]/80__T1_UIMF_V1
SILVER,[@12.0.42199629@][4][1246896833000]/69__SV5_UIMF
TEAL,[@4.0.6079335@][1597347351575]/1__T3_NONUIMF_V1
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/12__SV1UISA_V1
TEAL EVENING SATURDAY,[@124.0.92279199@][1484345597711]/31__T2NON_UI_SA
GREY,[@2.0.80545657@][32][1425489606906]/27__GR3_UIMF_V1
ILLINI EVENING SATURDAY,[@124.0.92260187@][1484328831455]/10__I3UISA
SILVER EVENING SUNDAY,[@124.0.92286725@][1484347296458]/71__SV1UISU
RED,[@4.0.5898288@][1597169152898]/35__R3_MF_V1
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/34__GR2SA_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/34__T1UISU_V1
SILVER,[@4.0.6090318@][1597351255773]/135__SV2_NONUIMF_V1
SILVER SATURDAY,[@4.0.6319787@][1597516966305]/72__SV1UISA_V1
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/35__GN2_NON_UI_SA
GREEN SATURDAY,GN2SAT020__GR4SA
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/24__GR3_UISU
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/45__T1UISU_V1
SILVER SUNDAY,[@124.0.92281033@][1484346076492]/40__SV2UISU
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/24__Y2UISU
YELLOW,[@4.0.5891782@][1597169066281]/33__Y1UIMF_V1
GREEN EVENING SATURDAY,[@124.0.92311676@][1484576395235]/33__GR4SA
