route_id,trip_id
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/31__GR2_SU_V1
TEAL LATE NIGHT SUNDAY,[@124.0.92276155@][1484344792164]/59__T2UISU
TEAL,[@4.0.6079335@][1597347351575]/158__T5_UIMF_V1
GOLDHOPPER,[@7.0.41987615@][3][1246632955750]/33__G5_MF
YELLOWHOPPER,[@4.0.5877225@][1597168632569]/24__Y4_MF_V1
ORANGEHOPPER,[@14.0.52435578@][3][1275675740468]/32__O3_MF
ILLINI EVENING,[@7.0.41950648@][1244056065453]/88__I2_UIMF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/72__I1NONUISA
SILVER,[@4.0.6090318@][1597351255773]/18__SV1_UIMF_V1
GREENHOPPER,[@7.0.41101146@][4][1237930029515]/14__GNX4_MF
SILVER,[@4.0.6090318@][1597351255773]/54__SV2_NONUIMF_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/10__GN4SA_V1
TEAL,[@4.0.6079335@][1597347351575]/55__T3_NONUIMF_V1
TEAL,[@4.0.6079335@][1597347351575]/34__T3_NONUIMF_V1
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/22__I1UISA_V1
YELLOW SUNDAY,[@124.0.92236898@][1484325332995]/64__Y1SU
GREENHOPPER,[@7.0.41101146@][3][1237929928359]/4__GNX5_MF
GREY SUNDAY,[@2.0.85633657@][31][1463430303388]/22__GN4_SU_V1
LAVENDER,[@15.0.63192662@][2][1334600338923]/11__L2_NOSCHMF_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/1__Y4SA_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/54__SV1_NONUISU
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/27__SV1UISU_V1
YELLOW SATURDAY,[@4.0.5874496@][1597168539048]/13__Y3SA_V1
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/11__T1UISU_V1
BLUE,[@4.0.5955594@][1597257189746]/43__B2_MF_V1
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/19__T1NON_UI_SA
TEAL,[@4.0.6079335@][1597347351575]/76__T4_UIMF_V1
YELLOW SATURDAY,[@15.0.63192124@][2][1338468889056]/6__Y2UISA
GREEN SATURDAY,GN2SATPO__LM2SA
GREEN EXPRESS,[@35.0.26091409@][4][1166799725236]/0__GNX3_MF
ILLINI LIMITED EVENING,[@7.0.41677083@][2][1238529695031]/29__I1_NONUIMF
