stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1STGTY:7,MTD4241,First & Gerty (SW Far Side),,40.08696667,-88.238265,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/1stgty,0,
RNDLFHLY:2,MTD4022,Randolph & Healey (SE Corner),,40.11154667000001,-88.24508167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rndlfhly,0,
PKRMN:3,MTD1531,Park & Romine (SW Corner),,40.11736297607422,-88.2272491455078,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pkrmn,0,
MATSSHRDN:2,MTD6301,Mattis & Sheridan (SE Corner),,40.10504833,-88.27648667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matsshrdn,0,
BNTBRKRVRKNL:1,MTD0522,Bentbrook & Riverknoll (NE Corner),,40.09625244,-88.31078339,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bntbrkrvrknl,0,
CLRFRVW:3,MTD3715,Coler & Fairview (SW Corner),,40.12008167,-88.21591667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/clrfrvw,0,
NWTNNBL:1,MTD1175,Newton & Nobel (NE Corner),,40.152786,-88.256567,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/nwtnnbl,0,
ADRSNCO:1,MTD5667,Anderson & Colorado (NE Corner),,40.09475,-88.198475,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ardsnco,0,
BRADMCNLY:3,MTD7503,Bradley & McKinley (SW Corner),,40.12719167,-88.26299667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradmcnly,0,
4THJOHN:4,MTD7309,Fourth & John (NW Corner),,40.109161,-88.233591,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thjohn,0,
VETMED:1,MTD5511,Vet-Med (Basic Science Building),,40.09263,-88.22042166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vetmed,0,
VINMFRD:2,MTD4043,Vine & Mumford (SE Corner),,40.09281167000001,-88.20479666999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vinmfrd,0,
FOXSURS:1,MTD5130,Fox at SURS (West Side),,40.09203,-88.24996833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxsurs,0,
ISWS:2,MTD1216,Water Survey,,40.08654333,-88.24146167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/isws,0,
PKNSEAST:1,MTD5141,Perkins & Eastern (North Side),,40.12748667000001,-88.19230167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pknseast,0,
FOXWDSR:2,MTD2111,Fox & Windsor (SE Corner),,40.08337167,-88.24959333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxwdsr,0,
NEILWASH:4,MTD6425,Neil & Washington (NW Corner),,40.12029333000001,-88.24360333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/neilwash,0,
FRVWLNCLN:3,MTD1465,Fairview & Lincoln (SW Corner),,40.12001,-88.219685,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/frvwlncln,0,
DSC:1,MTD4207,Development Services Center (South),,40.12726167000001,-88.26810333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/dsc,0,
FLFLDR:3,MTD4711,Florida & Florida Dr. (SW Corner),,40.09828167,-88.20881,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flfldr,0,
RMNEADS:2,MTD6362,Romine & Eads (SE Corner),,40.123,-88.22714,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rmneads,0,
SPFLDCFD:6,MTD7311,Springfield & Country Fair Dr. (SE Far),,40.112811,-88.28192799999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldcfd,0,
MATSUSPS:1,MTD2521,Mattis at Post Office (West Side),,40.13725833,-88.277305,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matsusps,0,
6THARY:7,MTD2214,Sixth & Armory (SW Far Side),,40.105081,-88.230438,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/6thary,0,
CATFS:2,MTD1018,Carle/Health Alliance - Fields South,,40.071932,-88.308998,1,https://mtd.org/maps-and-schedules/bus-stops/info/catfs-2/,0,
PLAKIRK:1,MTD0066,Paula & Kirk Ln. (North Side),,40.13200667000001,-88.26559,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/plakirk,0,
DEPOT:1,MTD0623,MTD Garage,,40.11615833,-88.19734192,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/depot,0,
FRLNPTN:3,MTD6346,Fairlawn & Patton (South Side),,40.10235167,-88.19366167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/frlnptn,0,
CSQRKNCH:3,MTD6556,Country Squire & Kinch (SW Corner),,40.10246333,-88.18153833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/csqrknch,0,
MNLRMN:7,MTD0660,Main & Lierman (SW Far Side),,40.11263833000001,-88.18885803,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnlrmn,0,
EAST:1,MTD5243,Eastern (West Side),,40.12497833,-88.19237833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/east,0,
RACEUA:2,MTD5055,Race at Stone Creek Church (East Side),,40.08497333,-88.20939333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceua,0,
5THARY:3,MTD9345,Fifth & Armory (SW Corner),,40.105381,-88.232076,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/5thary,0,
GRD:1,MTD4226,Butzow at Guardian West (NE Corner),,40.11706,-88.18638167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grd,0,
STETC:2,MTD3710,State & Trade Center Dr. (SE Corner),,40.09690333000001,-88.246595,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stetc,0,
GDWNMRL:2,MTD2360,Goodwin at Materials Research,,40.111668,-88.223815,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/gdwnmrl,0,
CHCHORCD:1,MTD3505,Church & Orchard (NE Corner),,40.11834300000001,-88.21426599999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chchorcd,0,
SPFLDCFD:2,MTD7311,Springfield & Country Fair Dr. (SE),,40.1127,-88.282768,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldcfd,0,
WMBGGH:3,MTD3527,Williamsburg & Garden Hills (SW Corner),,40.130975,-88.27293833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wmbggh,0,
CLTNHGN:4,MTD5561,Clayton & Higgins (NW Corner),,40.12472915649414,-88.28717041015624,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnhgn,0,
UNI4TH:3,MTD3521,University & Fourth (SW Corner),,40.11627,-88.23372667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/uni4th,0,
CFDFLDEV:4,MTD1762,Country Fair Dr. at Fluid Events (NW),,40.121085,-88.281803,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lumber,0,
MATSPRNCTN:2,MTD1721,Mattis & Princeton (SE Corner),,40.099025,-88.27641333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matsprnctn,0,
CPTVASNBL:4,MTD2309,Captiva & Sanibel (NW Corner),,40.140627,-88.186189,1,https://mtd.org/maps-and-schedules/bus-stops/info/cptvasnbl-4/,0,
UNIGWN:1,MTD1327,University & Goodwin (NE Corner),,40.116468,-88.22384599999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unigwn,0,
BRDWLKTCB:7,MTD6132,Boardwalk & Town Center (SW Far Side),,40.14235333,-88.26172167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brdwlktcb,0,
BDWYKER:4,MTD2651,Broadway & Kerr (NW),,40.121975,-88.20767333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bdwyker,0,
