service_id,date,exception_type
GNX4 MF V1,20201021,1
GNX4 MF V1,20201022,1
GNX4 MF V1,20201023,1
GNX4 MF V1,20201026,1
GNX4 MF V1,20201027,1
GNX4 MF V1,20201028,1
GNX4 MF V1,20201029,1
GNX4 MF V1,20201030,1
GNX4 MF V1,20201102,1
GNX4 MF V1,20201103,1
GNX4 MF V1,20201104,1
GNX4 MF V1,20201105,1
GNX4 MF V1,20201106,1
GNX4 MF V1,20201109,1
GNX4 MF V1,20201110,1
GNX4 MF V1,20201111,1
GNX4 MF V1,20201112,1
GNX4 MF V1,20201113,1
T2 NONUI SU,20201122,1
T2 NONUI SU,20201129,1
T2 NONUI SU,20201206,1
T2 NONUI SU,20201213,1
Y3SU V1,20200816,1
Y3SU V1,20200823,1
Y3SU V1,20200830,1
Y3SU V1,20200906,1
Y3SU V1,20200913,1
Y3SU V1,20200920,1
Y3SU V1,20200927,1
Y3SU V1,20201004,1
Y3SU V1,20201011,1
Y3SU V1,20201018,1
Y3SU V1,20201025,1
Y3SU V1,20201101,1
Y3SU V1,20201108,1
ORANGE / GREEN SCH,20200824,1
ORANGE / GREEN SCH,20200825,1
ORANGE / GREEN SCH,20200827,1
ORANGE / GREEN SCH,20200828,1
ORANGE / GREEN SCH,20200831,1
ORANGE / GREEN SCH,20200901,1
ORANGE / GREEN SCH,20200903,1
ORANGE / GREEN SCH,20200904,1
ORANGE / GREEN SCH,20200908,1
ORANGE / GREEN SCH,20200910,1
ORANGE / GREEN SCH,20200911,1
ORANGE / GREEN SCH,20200914,1
ORANGE / GREEN SCH,20200915,1
ORANGE / GREEN SCH,20200917,1
ORANGE / GREEN SCH,20200918,1
ORANGE / GREEN SCH,20200921,1
ORANGE / GREEN SCH,20200922,1
ORANGE / GREEN SCH,20200924,1
ORANGE / GREEN SCH,20200925,1
ORANGE / GREEN SCH,20200928,1
ORANGE / GREEN SCH,20200929,1
ORANGE / GREEN SCH,20201001,1
ORANGE / GREEN SCH,20201002,1
ORANGE / GREEN SCH,20201005,1
ORANGE / GREEN SCH,20201006,1
ORANGE / GREEN SCH,20201008,1
ORANGE / GREEN SCH,20201009,1
ORANGE / GREEN SCH,20201012,1
ORANGE / GREEN SCH,20201013,1
ORANGE / GREEN SCH,20201015,1
ORANGE / GREEN SCH,20201016,1
ORANGE / GREEN SCH,20201019,1
ORANGE / GREEN SCH,20201020,1
ORANGE / GREEN SCH,20201022,1
ORANGE / GREEN SCH,20201023,1
ORANGE / GREEN SCH,20201026,1
ORANGE / GREEN SCH,20201027,1
ORANGE / GREEN SCH,20201029,1
ORANGE / GREEN SCH,20201030,1
ORANGE / GREEN SCH,20201102,1
ORANGE / GREEN SCH,20201103,1
ORANGE / GREEN SCH,20201105,1
ORANGE / GREEN SCH,20201106,1
ORANGE / GREEN SCH,20201109,1
ORANGE / GREEN SCH,20201110,1
ORANGE / GREEN SCH,20201112,1
ORANGE / GREEN SCH,20201113,1
ORANGE / GREEN SCH,20201116,1
ORANGE / GREEN SCH,20201117,1
ORANGE / GREEN SCH,20201119,1
ORANGE / GREEN SCH,20201120,1
ORANGE / GREEN SCH,20201123,1
ORANGE / GREEN SCH,20201124,1
ORANGE / GREEN SCH,20201130,1
