service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L2SA,0,0,0,0,0,0,0,20200816,20201219
GR3 UIMF,0,0,0,0,0,0,0,20200816,20201219
LM2SA,0,0,0,0,0,0,0,20200816,20201219
Y8 MF V1,0,0,0,0,0,0,0,20200816,20201219
RUB1 MF,0,0,0,0,0,0,0,20200816,20201219
SV1UISU,0,0,0,0,0,0,0,20200816,20201219
SV2 NONUIMF V1,0,0,0,0,0,0,0,20200816,20201219
BZ2 MF,0,0,0,0,0,0,0,20200816,20201219
GN2 NON UI SA,0,0,0,0,0,0,0,20200816,20201219
Y3SA V1,0,0,0,0,0,0,0,20200816,20201219
Y1SA V1,0,0,0,0,0,0,0,20200816,20201219
Y4 MF V1,0,0,0,0,0,0,0,20200816,20201219
L1SU,0,0,0,0,0,0,0,20200816,20201219
O4 MF,0,0,0,0,0,0,0,20200816,20201219
I4 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
B1 MF,0,0,0,0,0,0,0,20200816,20201219
GN9 MF V1,0,0,0,0,0,0,0,20200816,20201219
N1 MF,0,0,0,0,0,0,0,20200816,20201219
MOVED#1,0,0,0,0,0,0,0,20200816,20201219
7W SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
T3 NONUIMF,0,0,0,0,0,0,0,20200816,20201219
GN9 MF,0,0,0,0,0,0,0,20200816,20201219
I2 UIMF,0,0,0,0,0,0,0,20200816,20201219
G4 MF,0,0,0,0,0,0,0,20200816,20201219
MOVED#2,0,0,0,0,0,0,0,20200816,20201219
GN3 SU,0,0,0,0,0,0,0,20200816,20201219
G1 MF,0,0,0,0,0,0,0,20200816,20201219
5W #2 SHOW SCH,0,0,0,0,0,0,0,20200816,20201219
I3UISU,0,0,0,0,0,0,0,20200816,20201219
GR1SA V1,0,0,0,0,0,0,0,20200816,20201219
I3UISU V1,0,0,0,0,0,0,0,20200816,20201219
R1 MF,0,0,0,0,0,0,0,20200816,20201219
I6UISA V1,0,0,0,0,0,0,0,20200816,20201219
T5 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
B1 MF V1,0,0,0,0,0,0,0,20200816,20201219
R4 MF V1,0,0,0,0,0,0,0,20200816,20201219
5E/5W HUSch MF,0,0,0,0,0,0,0,20200816,20201219
P2 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
GN3UISA,0,0,0,0,0,0,0,20200816,20201219
Y1SA,0,0,0,0,0,0,0,20200816,20201219
L2 NOSCHMF,0,0,0,0,0,0,0,20200816,20201219
T2 NONUI SU V1,0,0,0,0,0,0,0,20200816,20201219
GN7 MF,0,0,0,0,0,0,0,20200816,20201219
LM1SA,0,0,0,0,0,0,0,20200816,20201219
SV2UISA V1,0,0,0,0,0,0,0,20200816,20201219
T3 UIMF,0,0,0,0,0,0,0,20200816,20201219
3N SHOW#1 SCH,0,0,0,0,0,0,0,20200816,20201219
Y5UISA V1,0,0,0,0,0,0,0,20200816,20201219
L2 NOSCHMF V1,0,0,0,0,0,0,0,20200816,20201219
GR3 UIMF V1,0,0,0,0,0,0,0,20200816,20201219
